NOT ORIGINAL IUE PROJECT DATA PRODUCT
SWP42389LOWLARGE
HD  197481
20:42:04
-31:31:05
48
NO-TRAIL
X-OFFSETS
4079.356
04/09/91
02:56:33
247
6.49
21/09/95
GSFC
2448503.62260
45
20
1150.59 -1.12e-14  7.30e-14    -2    -3     0
1536.16  2.84e-14  6.98e-15    99    62     0
1537.83  3.05e-14  5.01e-15    99    67     0
1539.51  2.63e-14  4.81e-15    99    58     0
1541.19  3.28e-14  5.04e-15   100    72     0
1542.86  4.02e-14  5.42e-15   100    89     0
1544.54  8.41e-14  6.73e-15   100   186     0
1546.22  1.38e-13  8.53e-15   100   303     0
1547.89  1.59e-13  1.20e-14   100   350     0
1549.57  1.25e-13  9.07e-15   101   274     0
1551.24  7.69e-14  6.53e-15   101   168     0
1552.92  4.66e-14  5.60e-15   101   102     0
1554.60  2.40e-14  4.69e-15   101    52     0
1556.27  1.98e-14  4.42e-15   102    43     0
1557.95  2.02e-14  4.39e-15   102    44     0
1559.63  2.04e-14  4.39e-15   102    45     0
1561.30  2.46e-14  7.13e-15   102    54     0
1562.98  2.04e-14  4.37e-15   102    44     0
1564.66  1.67e-14  4.25e-15   102    36     0
1566.33  2.13e-14  4.59e-15   103    48     0
1568.01  3.21e-14  5.50e-15   103    72     0
1569.69  2.43e-14  4.36e-15   103    55     0
1571.36  1.88e-14  4.20e-15   103    41     0
1573.04  1.70e-14  4.16e-15   103    37     0
1574.71  2.52e-14  4.44e-15   104    56     0
1576.39  2.01e-14  4.36e-15   104    44     0
1578.07  1.29e-14  4.69e-15   104    28     0
1579.74  2.08e-14  4.29e-15   104    45     0
1581.42  1.20e-14  3.88e-15   104    26     0
1583.10  1.83e-14  4.17e-15   104    41     0
1584.77  1.42e-14  3.92e-15   104    31     0
1586.45  1.75e-14  4.02e-15   105    39     0
1588.13  2.77e-14  4.50e-15   105    62     0
1589.80  2.79e-14  4.54e-15   105    63     0
1591.48  2.66e-14  4.35e-15   105    59     0
1593.15  3.30e-14  4.64e-15   105    74     0
1594.83  2.94e-14  4.40e-15   105    66     0
1596.51  2.75e-14  4.28e-15   105    62     0
1598.18  2.12e-14  5.05e-15   106    48     0
